"Image-name-unique","bankssts","caudalanteriorcingulate","caudalmiddlefrontal","cuneus","entorhinal","frontalpole","fusiform","inferiorparietal","inferiortemporal","insula","isthmuscingulate","lateraloccipital","lateralorbitofrontal","lingual","medialorbitofrontal","middletemporal","paracentral","parahippocampal","parsopercularis","parsorbitalis","parstriangularis","pericalcarine","postcentral","posteriorcingulate","precentral","precuneus","rostralanteriorcingulate","rostralmiddlefrontal","superiorfrontal","superiorparietal","superiortemporal","supramarginal","temporalpole","transversetemporal","accumbensarea","amygdala","caudate","hippo","pallidum","putamen","thalamusproper","ventdc"
"left_area","3","3","0.720162727272727","3","3","3","0.713638363636364","1.25307718181818","0.944137272727273","3","3","1.18555945454545","3","3","3","0.828776545454545","3","3","3","3","3","3","1.07612354545455","3","1.16435781818182","0.869402545454545","3","1.68735309090909","1.933544","1.29218872727273","0.959842090909091","1.24034981818182","3","3","-0.832931636363636","-0.821514727272727","-0.574316727272727","3","-0.553844272727273","-0.605801181818182","3","3"
"left_grayvol","3","3","0.658731727272727","3","3","3","0.817192181818182","0.958554636363636","1.00871636363636","3","3","0.902594181818182","3","3","3","0.788013636363636","3","3","3","3","3","3","0.811161454545455","3","0.932075181818182","0.788484545454545","3","1.41307190909091","1.83927590909091","1.00283963636364","0.887692363636364","0.947583181818182","3","3","-0.832931636363636","-0.821514727272727","-0.574316727272727","3","-0.553844272727273","-0.605801181818182","3","3"
"left_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","-0.832931636363636","-0.821514727272727","-0.574316727272727","3","-0.553844272727273","-0.605801181818182","3","3"
"right_area","3","3","0.703098727272727","3","3","3","0.717101181818182","1.54132081818182","0.858619272727273","3","3","1.11467181818182","0.560067545454545","3","3","0.946985272727273","3","3","3","3","3","3","1.02867654545455","3","1.15513081818182","0.980046454545454","3","1.73703609090909","1.95624727272727","1.305653","0.882194363636364","1.13018536363636","3","3","-0.647159090909091","-0.713436454545455","3","3","3","3","-0.623613090909091","3"
"right_grayvol","3","3","0.653522545454545","3","3","3","0.793111090909091","1.26478854545455","0.939029727272727","3","3","0.927551818181818","0.597070363636364","3","3","0.903597818181818","3","3","3","3","3","3","0.738818727272727","3","0.944503090909091","0.905472727272727","3","1.39922327272727","1.899843","1.04017163636364","0.834704272727273","0.834332272727273","3","3","-0.647159090909091","-0.713436454545455","3","3","3","3","-0.623613090909091","3"
"right_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","-0.647159090909091","-0.713436454545455","3","3","3","3","-0.623613090909091","3"
