"Image-name-unique","bankssts","caudalanteriorcingulate","caudalmiddlefrontal","cuneus","entorhinal","frontalpole","fusiform","inferiorparietal","inferiortemporal","insula","isthmuscingulate","lateraloccipital","lateralorbitofrontal","lingual","medialorbitofrontal","middletemporal","paracentral","parahippocampal","parsopercularis","parsorbitalis","parstriangularis","pericalcarine","postcentral","posteriorcingulate","precentral","precuneus","rostralanteriorcingulate","rostralmiddlefrontal","superiorfrontal","superiorparietal","superiortemporal","supramarginal","temporalpole","transversetemporal","accumbensarea","amygdala","caudate","hippo","pallidum","putamen","thalamusproper","ventdc"
"left_area","3","3","0.548979090909091","3","3","3","0.688346090909091","0.914201636363636","0.708352727272727","3","3","0.951798","3","0.568207727272727","3","0.722156636363636","3","3","3","3","3","3","0.788646090909091","3","0.802791363636364","0.835950545454546","3","1.28010709090909","1.60587645454545","1.10565190909091","0.760507272727273","0.832718454545455","3","3","3","3","0.743261454545455","0.78406","3","0.786783181818182","1.97811754545455","0.743983181818182"
"left_grayvol","3","3","0.547613545454545","3","3","3","0.761786727272727","0.920005727272727","0.810898272727273","3","3","0.919680545454545","3","3","3","0.900210090909091","3","3","3","3","3","3","0.742732181818182","3","0.829824545454546","0.793523363636364","3","1.19678090909091","1.59540809090909","0.980020454545455","0.864429090909091","0.838570727272727","3","3","3","3","0.743261454545455","0.78406","3","0.786783181818182","1.97811754545455","0.743983181818182"
"left_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.743261454545455","0.78406","3","0.786783181818182","1.97811754545455","0.743983181818182"
"right_area","3","3","3","3","3","3","0.602048090909091","1.19431472727273","0.705790181818182","3","3","1.02401681818182","3","0.601446727272727","3","0.786287818181818","3","3","3","3","3","3","0.698048727272727","3","0.879091181818182","0.919796909090909","3","1.43482218181818","1.49589081818182","1.07880290909091","0.669194363636364","0.707067181818182","3","3","3","3","0.707754727272727","0.773474727272727","3","0.934833181818182","1.59254827272727","0.733639363636364"
"right_grayvol","3","3","3","3","3","3","0.687389181818182","1.18584881818182","0.853738727272727","3","3","0.975572272727273","3","3","3","1.00583672727273","3","3","3","3","3","3","0.675382727272727","3","0.943368181818182","0.858716454545455","3","1.350211","1.494226","0.96065","0.827873818181818","0.730865909090909","3","3","3","3","0.707754727272727","0.773474727272727","3","0.934833181818182","1.59254827272727","0.733639363636364"
"right_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.707754727272727","0.773474727272727","3","0.934833181818182","1.59254827272727","0.733639363636364"
