"Image-name-unique","bankssts","caudalanteriorcingulate","caudalmiddlefrontal","cuneus","entorhinal","frontalpole","fusiform","inferiorparietal","inferiortemporal","insula","isthmuscingulate","lateraloccipital","lateralorbitofrontal","lingual","medialorbitofrontal","middletemporal","paracentral","parahippocampal","parsopercularis","parsorbitalis","parstriangularis","pericalcarine","postcentral","posteriorcingulate","precentral","precuneus","rostralanteriorcingulate","rostralmiddlefrontal","superiorfrontal","superiorparietal","superiortemporal","supramarginal","temporalpole","transversetemporal","accumbensarea","amygdala","caudate","hippo","pallidum","putamen","thalamusproper","ventdc"
"left_area","3","3","3","3","3","3","0.684896272727273","1.02674909090909","0.793303454545455","3","3","0.804849363636364","3","0.599536909090909","3","0.710774818181818","3","3","3","3","3","3","0.819075090909091","3","0.787627363636364","0.816600363636364","3","1.24522690909091","1.53803836363636","1.01731563636364","0.741982636363636","0.920556272727273","3","3","3","3","0.767428545454545","0.833582636363636","3","0.887437090909091","1.75782354545455","0.854472636363636"
"left_grayvol","3","3","3","3","3","3","0.777371090909091","0.988849909090909","0.955658090909091","3","3","0.771125272727273","3","3","3","0.891688636363636","3","3","3","3","3","3","0.742824090909091","3","0.816454636363636","0.749478363636364","3","1.24644690909091","1.61823090909091","0.875420090909091","0.890314818181818","0.900431181818182","3","3","3","3","0.767428545454545","0.833582636363636","3","0.887437090909091","1.75782354545455","0.854472636363636"
"left_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.767428545454545","0.833582636363636","3","0.887437090909091","1.75782354545455","0.854472636363636"
"right_area","3","3","3","3","3","3","0.718448818181818","1.14068290909091","0.752096363636364","3","3","0.918342090909091","3","0.588722818181818","3","0.751434636363636","3","3","3","3","3","3","0.730789181818182","3","0.919724909090909","0.875808363636364","3","1.30778145454545","1.46459090909091","0.986926272727273","0.677481545454545","0.764685545454545","3","3","3","3","0.791717636363636","0.801041","3","0.964128636363636","1.46353581818182","0.862718454545454"
"right_grayvol","3","3","3","3","3","3","0.793298363636364","1.12893409090909","0.905513181818182","3","3","0.895334","3","3","3","1.01082154545455","3","3","3","3","3","3","0.658925727272727","3","0.936296727272727","0.805446181818182","3","1.28685418181818","1.55253472727273","0.869993","0.836871818181818","0.772717545454545","3","3","3","3","0.791717636363636","0.801041","3","0.964128636363636","1.46353581818182","0.862718454545454"
"right_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.791717636363636","0.801041","3","0.964128636363636","1.46353581818182","0.862718454545454"
