"Image-name-unique","bankssts","caudalanteriorcingulate","caudalmiddlefrontal","cuneus","entorhinal","frontalpole","fusiform","inferiorparietal","inferiortemporal","insula","isthmuscingulate","lateraloccipital","lateralorbitofrontal","lingual","medialorbitofrontal","middletemporal","paracentral","parahippocampal","parsopercularis","parsorbitalis","parstriangularis","pericalcarine","postcentral","posteriorcingulate","precentral","precuneus","rostralanteriorcingulate","rostralmiddlefrontal","superiorfrontal","superiorparietal","superiortemporal","supramarginal","temporalpole","transversetemporal","accumbensarea","amygdala","caudate","hippo","pallidum","putamen","thalamusproper","ventdc"
"left_area","3","3","0.320070720318791","3","3","3","0.265469302279405","0.608669749981841","0.438565879348749","3","3","0.56180814795497","3","3","0.206948981040951","0.359849020154342","3","3","3","3","3","3","0.540740597538434","3","0.575528226393046","0.294640015924048","3","0.768082308336413","0.858128640629447","0.671031308844866","0.404432324282849","0.54786720041432","3","3","-1.81594534256013","-2","-1.3261326150203","-1.4494813152056","-1.11777183118414","-1.36727959502293","-0.947086817354874","-0.54791236079932"
"left_grayvol","3","3","0.220021969458964","3","3","3","0.343575104798324","0.212269715875462","0.369266879479485","3","3","3","3","0.206967149390933","0.273200044008953","3","3","3","3","3","3","3","3","3","0.216420362808364","0.224724043949192","3","0.33295535801309","0.55906526127698","0.280786869984726","3","3","3","3","-1.81594534256013","-2","-1.3261326150203","-1.4494813152056","-1.11777183118414","-1.36727959502293","-0.947086817354874","-0.54791236079932"
"left_thck","3","-0.29920808646813","3","3","3","3","3","-0.258095985740661","3","3","3","-0.28022291253086","3","3","3","-0.295280801427746","3","3","3","3","3","3","3","3","-0.244590801622916","3","-0.237741821686244","-0.282795412399963","-0.265354554805835","3","-0.254005666962255","-0.356899832027175","3","3","-1.81594534256013","-2","-1.3261326150203","-1.4494813152056","-1.11777183118414","-1.36727959502293","-0.947086817354874","-0.54791236079932"
"right_area","3","3","0.338236102693594","3","3","3","0.201979841698013","0.62989420767646","0.350630340021395","3","3","0.521334102532691","0.287526707927858","3","3","0.432879324292751","3","3","3","3","3","3","0.55857184714063","3","0.584084035430973","0.323940249130812","3","0.83742824256024","0.852269614844928","0.6425328439336","0.445983525342512","0.58132435869162","3","3","-1.53193944982893","-1.80022525522583","-1.28602015603342","-1.52520628570437","-0.718350278474148","-1.28352280916482","-1.45126142441757","-0.539522790515057"
"right_grayvol","3","3","0.255812880318837","3","3","3","0.215952839395074","0.281465865078186","0.282641802463075","3","3","3","0.303212496319054","3","3","3","3","3","3","3","3","3","0.211774712420657","3","0.276134664482723","0.295279047242231","3","0.375180509234186","0.663086998326148","0.29597700204756","0.286381646845915","3","3","3","-1.53193944982893","-1.80022525522583","-1.28602015603342","-1.52520628570437","-0.718350278474148","-1.28352280916482","-1.45126142441757","-0.539522790515057"
"right_thck","3","3","3","3","3","3","3","-0.270337958446781","-0.201407396887912","3","3","-0.273204548177025","3","3","3","-0.374889703524875","3","3","3","3","-0.23871375916611","3","-0.212851070101471","3","3","3","3","-0.218903887222675","3","3","-0.215144667662976","-0.423551627465231","-0.279707320477635","3","-1.53193944982893","-1.80022525522583","-1.28602015603342","-1.52520628570437","-0.718350278474148","-1.28352280916482","-1.45126142441757","-0.539522790515057"
