"Image-name-unique","bankssts","caudalanteriorcingulate","caudalmiddlefrontal","cuneus","entorhinal","frontalpole","fusiform","inferiorparietal","inferiortemporal","insula","isthmuscingulate","lateraloccipital","lateralorbitofrontal","lingual","medialorbitofrontal","middletemporal","paracentral","parahippocampal","parsopercularis","parsorbitalis","parstriangularis","pericalcarine","postcentral","posteriorcingulate","precentral","precuneus","rostralanteriorcingulate","rostralmiddlefrontal","superiorfrontal","superiorparietal","superiortemporal","supramarginal","temporalpole","transversetemporal","accumbensarea","amygdala","caudate","hippo","pallidum","putamen","thalamusproper","ventdc"
"left_area","3","3","-0.387096774193548","-0.193548387096774","3","3","-0.516129032258065","-0.709677419354839","-0.580645161290323","-0.258064516129032","3","-0.580645161290323","-0.32258064516129","-0.451612903225806","-0.32258064516129","-0.516129032258065","3","3","-0.193548387096774","3","3","-0.193548387096774","-0.580645161290323","-0.193548387096774","-0.580645161290323","-0.580645161290323","-0.193548387096774","-0.903225806451613","-1.09677419354839","-0.709677419354839","-0.516129032258065","-0.645161290322581","3","3","3","-0.258064516129032","-0.516129032258065","-0.580645161290323","3","-0.645161290322581","-1.2258064516129","-0.580645161290323"
"left_grayvol","3","3","-0.387096774193548","3","3","3","-0.580645161290323","-0.709677419354839","-0.709677419354839","-0.32258064516129","3","-0.516129032258065","-0.387096774193548","-0.387096774193548","-0.258064516129032","-0.645161290322581","3","3","-0.193548387096774","3","3","3","-0.516129032258065","-0.193548387096774","-0.580645161290323","-0.516129032258065","-0.193548387096774","-0.903225806451613","-1.16129032258065","-0.645161290322581","-0.645161290322581","-0.645161290322581","3","3","3","-0.258064516129032","-0.516129032258065","-0.580645161290323","3","-0.645161290322581","-1.2258064516129","-0.580645161290323"
"left_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","-0.193548387096774","3","3","3","3","-0.258064516129032","-0.516129032258065","-0.580645161290323","3","-0.645161290322581","-1.2258064516129","-0.580645161290323"
"right_area","3","3","-0.32258064516129","-0.193548387096774","3","3","-0.516129032258065","-0.838709677419355","-0.516129032258065","-0.32258064516129","3","-0.645161290322581","-0.32258064516129","-0.387096774193548","-0.258064516129032","-0.516129032258065","-0.193548387096774","3","-0.193548387096774","3","3","-0.193548387096774","-0.516129032258065","-0.193548387096774","-0.645161290322581","-0.645161290322581","3","-0.903225806451613","-1.03225806451613","-0.709677419354839","-0.451612903225806","-0.516129032258065","3","3","3","-0.258064516129032","-0.580645161290323","-0.580645161290323","-0.193548387096774","-0.709677419354839","-1.03225806451613","-0.580645161290323"
"right_grayvol","3","3","-0.32258064516129","3","3","3","-0.580645161290323","-0.774193548387097","-0.645161290322581","-0.32258064516129","3","-0.645161290322581","-0.387096774193548","-0.32258064516129","-0.258064516129032","-0.709677419354839","-0.193548387096774","3","-0.193548387096774","3","3","3","-0.451612903225806","-0.193548387096774","-0.645161290322581","-0.580645161290323","3","-0.903225806451613","-1.09677419354839","-0.645161290322581","-0.580645161290323","-0.516129032258065","3","3","3","-0.258064516129032","-0.580645161290323","-0.580645161290323","-0.193548387096774","-0.709677419354839","-1.03225806451613","-0.580645161290323"
"right_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","-0.258064516129032","-0.580645161290323","-0.580645161290323","-0.193548387096774","-0.709677419354839","-1.03225806451613","-0.580645161290323"
