"Image-name-unique","bankssts","caudalanteriorcingulate","caudalmiddlefrontal","cuneus","entorhinal","frontalpole","fusiform","inferiorparietal","inferiortemporal","insula","isthmuscingulate","lateraloccipital","lateralorbitofrontal","lingual","medialorbitofrontal","middletemporal","paracentral","parahippocampal","parsopercularis","parsorbitalis","parstriangularis","pericalcarine","postcentral","posteriorcingulate","precentral","precuneus","rostralanteriorcingulate","rostralmiddlefrontal","superiorfrontal","superiorparietal","superiortemporal","supramarginal","temporalpole","transversetemporal","accumbensarea","amygdala","caudate","hippo","pallidum","putamen","thalamusproper","ventdc"
"left_area","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1.71150329507338","2","1.24110284408944","1.47442562656097","1.01700920998678","1.29265267631111","1.03010232809998","0.63863289606115"
"left_grayvol","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.587216867950515","0.693269967124474","3","3","0.526285510244255","3","3","1.71150329507338","2","1.24110284408944","1.47442562656097","1.01700920998678","1.29265267631111","1.03010232809998","0.63863289606115"
"left_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.54117242745901","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.587773731100823","3","3","1.71150329507338","2","1.24110284408944","1.47442562656097","1.01700920998678","1.29265267631111","1.03010232809998","0.63863289606115"
"right_area","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1.46745846088649","1.80701981098698","1.19752135405052","1.54381777266511","0.779301759661396","1.23666121466143","1.52165115319394","0.630587449749886"
"right_grayvol","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.606082593628544","3","3","3","3","3","1.46745846088649","1.80701981098698","1.19752135405052","1.54381777266511","0.779301759661396","1.23666121466143","1.52165115319394","0.630587449749886"
"right_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.604202861681472","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.652848830783578","3","3","1.46745846088649","1.80701981098698","1.19752135405052","1.54381777266511","0.779301759661396","1.23666121466143","1.52165115319394","0.630587449749886"
