"Image-name-unique","bankssts","caudalanteriorcingulate","caudalmiddlefrontal","cuneus","entorhinal","frontalpole","fusiform","inferiorparietal","inferiortemporal","insula","isthmuscingulate","lateraloccipital","lateralorbitofrontal","lingual","medialorbitofrontal","middletemporal","paracentral","parahippocampal","parsopercularis","parsorbitalis","parstriangularis","pericalcarine","postcentral","posteriorcingulate","precentral","precuneus","rostralanteriorcingulate","rostralmiddlefrontal","superiorfrontal","superiorparietal","superiortemporal","supramarginal","temporalpole","transversetemporal","accumbensarea","amygdala","caudate","hippo","pallidum","putamen","thalamusproper","ventdc"
"left_area","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1.71150303348176","2","1.24110310568105","1.47442582275468","1.01700934078259","1.29265300330063","1.03010200111046","3"
"left_grayvol","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0.693270097920281","3","3","3","3","3","1.71150303348176","2","1.24110310568105","1.47442582275468","1.01700934078259","1.29265300330063","1.03010200111046","3"
"left_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1.71150303348176","2","1.24110310568105","1.47442582275468","1.01700934078259","1.29265300330063","1.03010200111046","3"
"right_area","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1.46745833009069","1.80701994178279","1.19752128865261","1.5438175764714","0.779301694263492","1.23666128005933","1.52165095700022","3"
"right_grayvol","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1.46745833009069","1.80701994178279","1.19752128865261","1.5438175764714","0.779301694263492","1.23666128005933","1.52165095700022","3"
"right_thck","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1.46745833009069","1.80701994178279","1.19752128865261","1.5438175764714","0.779301694263492","1.23666128005933","1.52165095700022","3"
